,2008-09-01,2009-01-05,2009-06-04,2010-02-26,2010-09-24,2011-07-04,2012-04-28,2013-04-25
Mario,29,27,30,31,31,31,31,31
Donkey Kong,10,14,18,18,20,18,23,21
Link,36,34,36,36,36,35,36,35
Samus,31,30,33,33,34,33,32,32
Samus Sans Armure,21,16,15,15,13,12,10,9
Yoshi,32,33,32,30,29,28,26,27
Kirby,14,13,13,16,15,19,20,20
Fox,19,24,21,20,16,15,16,15
Pikachu,12,12,9,9,9,9,8,8
Bowser,22,23,25,26,32,32,33,33
Peach,24,19,19,19,19,17,17,19
Ice Climbers,13,15,11,5,7,7,4,2
Zelda,20,22,26,35,37,37,37,37
Sheik,26,25,24,23,26,26,25,25
Pit,15,18,17,13,18,21,18,17
Wario,8,8,3,7,5,6,9,10
Ike,25,26,28,29,25,23,24,23
Dresseur de Pokémon,30,32,27,24,28,29,28,29
Diddy Kong,11,7,5,3,3,2,3,4
Meta Knight,1,1,1,1,1,1,1,1
Lucas,27,28,29,28,30,30,30,30
Roi DaDiDou,3,4,6,8,10,11,12,12
Olimar,18,10,10,10,8,8,2,3
Ness,28,28,31,26,27,27,27,26
Marth,7,6,7,6,6,5,7,5
Luigi,23,21,20,21,21,25,29,28
Falco,5,3,4,4,4,4,6,7
Captain Falcon,37,37,35,32,33,34,34,34
Lucario,9,10,14,11,12,10,11,11
R.O.B.,6,9,12,17,17,20,19,18
Ganondorf,35,36,37,37,38,38,38,38
Mr. Game & Watch,4,5,8,12,11,13,15,16
Rondoudou,34,35,34,34,35,36,35,36
Link Cartoon,17,17,16,14,14,14,13,13
Wolf,16,20,22,22,22,16,14,14
Snake,2,2,2,2,2,3,5,6
Sonic,33,31,23,25,24,22,22,22
Zelda/Sheik,,,,,23,24,21,24
